abseil-cpp 20260817.0-1
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aom 3.14.1-1
appstream 1.1.6-1
archlinux-keyring 20260727-1
argon2 20190702-6
asar 4.3.0-1
at-spi2-core 2.60.6-1
atkmm 2.28.5-2
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
aws-c-auth 0.10.1-1
aws-c-cal 0.9.13-1
aws-c-common 0.12.6-1
aws-c-compression 0.3.2-1
aws-c-event-stream 0.7.0-1
aws-c-http 0.10.14-1
aws-c-io 0.26.3-1
aws-c-mqtt 0.15.2-1
aws-c-s3 0.12.2-1
aws-c-sdkutils 0.2.4-1
aws-checksums 0.2.10-1
aws-crt-cpp 0.38.5-1
base 3-3
base-devel 1-2
bash 5.3.15-1
binutils 2.47-4
bison 3.8.2-8
bitwarden-bin 2026.8.0-1
bitwarden-bin-debug 2026.8.0-1
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.92.0-1
breeze-icons 6.29.0-1
brotli 1.2.0-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bun 1.4.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
carapace-bin 1.7.3-1
carapace-bin-debug 1.7.3-1
cava 0.10.7-1
cbindgen 0.29.4-1
chromaprint 1.6.1-2
chrpath 0.18-1
clang 22.1.8-1
clang20 20.1.8-1
cli-proxy-api-bin 7.2.140-1
clucene 2.3.3.4-17
cmake 4.4.2-1
compiler-rt 22.1.8-1
compiler-rt20 20.1.8-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cpptrace 1.0.4-2
cpuinfo r843.ea6b9f1-1
cryptsetup 2.8.7-1
cups-pk-helper 0.2.7-2
curl 8.21.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
